GEOLABEL,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
European Union,"63,829,590","61,897,266","74,503,267","85,115,952","91,342,401","101,809,729","110,512,086","111,300,134","101,528,517","92,527,909","69,980,322","70,838,267","66,046,168","63,043,055","28,614,704","890,607","1,457,377","4,949,200","21,943,381","30,603,112","21,929,712","17,411,200","8,187,309","11,678,530","9,918,593","6,766,337","8,505,541","10,136,780","15,187,279"
Belgium,"2,253,327","2,187,148","2,643,934","3,107,492","3,102,755","3,257,996","3,650,171","3,570,657","3,325,409","3,120,567","2,611,508","2,554,224","2,340,520","2,345,828","1,058,082","17,596","22,975","109,685","795,201","935,379","580,349","472,460","324,998","462,755","365,177","190,071","208,017","302,709","511,864"
Bulgaria,"570,956","536,254","618,037","678,527","877,009","1,455,157","1,866,085","1,885,574","1,290,977","717,317","584,000","633,175","620,438","596,013","293,130","29,572","77,248","156,857","438,020","543,762","404,993","267,838","134,256","166,890","191,389","109,378","131,996","162,755","226,731"
Czechia,"1,015,592","1,011,909","1,269,379","1,434,249","1,540,267","1,925,827","2,171,017","2,196,935","1,993,067","1,643,154","1,282,563","1,348,737","1,088,657","1,037,299","444,914","4,672","7,663","37,395","272,997","377,416","259,224","120,624","67,046","103,465","89,406","78,802","88,415","103,236","141,661"
Denmark,"2,233,010","2,260,089","2,652,203","2,884,516","3,075,631","3,401,375","3,640,974","3,416,166","3,273,384","3,168,106","2,443,406","2,331,267","2,247,096","2,274,056","978,517","30,861","49,903","171,539","654,988","726,796","563,206","463,323","217,608","280,761","193,763","116,984","165,607","203,784","288,462"
Germany,"14,177,333","13,965,763","17,192,573","19,190,820","20,253,183","21,595,042","22,839,831","22,756,833","22,175,455","21,573,621","15,703,175","15,340,457","14,069,946","13,659,950","6,503,935","265,803","397,715","1,323,571","4,556,602","5,618,984","4,300,025","3,663,114","1,547,855","1,888,478","1,648,149","1,196,831","1,791,215","2,087,961","3,010,568"
Estonia,"204,783","194,398","230,699","265,748","300,446","316,964","318,394","325,152","310,000","315,559","241,243","234,617","213,359","211,228","103,004","2,838","10,370","24,788","75,126","83,837","43,096","34,594","25,626","29,971","27,323","24,757","32,758","44,348","54,531"
Ireland,"2,347,603","2,286,662","2,779,886","3,224,936","3,462,571","3,763,063","4,030,976","4,008,037","3,527,592","3,311,286","2,588,600","2,616,298","2,382,437","2,338,066","1,181,175","24,820","44,541","93,619","428,900","589,417","429,072","285,891","176,829","293,530","205,824","97,721","113,094","123,802","157,411"
Greece,"1,652,468","1,567,624","1,957,347","3,134,121","5,176,922","7,632,190","8,993,720","9,284,850","7,690,464","4,947,216","2,056,288","1,995,317","1,907,871","1,772,156","853,676","27,068","99,321","388,740","2,419,186","4,170,338","2,957,622","2,082,385","366,805","296,024","289,278","244,293","301,175","404,784","1,020,330"
Spain,"13,501,719","13,223,229","16,219,646","19,292,641","20,623,195","22,940,081","24,715,129","24,884,676","22,783,216","20,629,484","14,780,490","14,668,866","13,656,107","13,609,445","6,596,673","84,558","173,061","663,375","5,287,294","6,449,237","3,644,489","3,026,977","1,972,250","2,633,839","1,952,713","1,479,142","2,149,283","2,554,008","4,163,677"
