GEOLABEL,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
European Union,"52,276,975","56,433,789","21,512,181","2,906,260","8,991,302","32,358,929","77,559,629","92,594,788","57,562,734","37,165,436","12,081,524","11,270,576","9,400,387","11,729,050","13,055,517","15,112,136","32,088,125","55,128,900","100,739,790","112,908,289","80,379,052","67,644,355"
Belgium,"972,661","1,175,643","425,916","15,481","31,002","413,333","1,368,513","1,149,119","842,356","521,460","204,563","256,370",0,"399,510","368,558","640,650","754,497","891,838","1,547,837","1,594,886","1,269,875",0
Bulgaria,"439,897","442,669","162,494","16,494",0,"199,533","613,199","947,420","593,318",0,0,0,0,0,0,0,0,"562,359","1,118,431","1,325,112","619,950",0
Czechia,"1,327,308","1,358,025","487,326","18,931","123,666","893,877","2,254,054","2,398,819","1,311,484","375,123","105,496","182,335","101,097","95,686","85,111","109,378","300,625","1,158,450","2,410,621","2,482,440","1,814,834","1,450,206"
Denmark,"386,637","423,260","202,236","148,153","218,742","336,583","1,060,404","816,675","516,250","492,095","264,631","176,207","105,131",,"186,433","316,576","451,915","523,077","1,112,098","1,048,511","770,586","799,884"
Germany,"10,327,540","11,415,065","5,078,440","856,574","3,318,203","8,864,870","13,560,068","14,883,539","13,302,612","10,027,022","2,090,072","1,378,718","1,307,432","1,507,853","2,074,415","1,864,851","3,725,475","8,936,588","14,419,689","16,442,499","14,834,930","14,533,051"
Estonia,"223,216","232,356","89,719","12,884","37,372","163,167","346,692","330,587","153,641","158,009","118,120","106,368","96,229","99,757","51,185","58,928","90,007","216,226","380,716","341,551","214,455","227,439"
Ireland,"530,638","658,976","498,578","2,185","4,664","10,989","776,326","1,278,718","558,426","188,966","63,402","252,136","41,578","26,369","29,060","27,993","26,002","421,159",,,,
Greece,"811,844","858,454",,"16,120","32,967","376,638","1,727,507","2,786,080","1,704,143","1,216,975","167,440",,,,,,"511,972","1,570,320","3,516,188","4,581,558","3,255,814","2,186,754"
Spain,"6,515,011","7,643,820","3,018,156",0,"141,129","1,549,481","6,716,215","8,946,303","4,825,722","3,119,549","1,395,880","1,742,777","1,286,500","1,345,411","2,215,210","2,614,206","4,461,763","7,608,812","12,239,999","14,943,556","10,765,707","10,237,190"
France,,,,,,,"16,705,553","20,120,195","10,688,290","7,188,825",,,,,,,"7,824,752",,"20,430,635","21,490,041","14,166,236",
Croatia,"219,726","278,714","104,385","2,241","62,040","797,499","2,244,495","2,466,228","487,917","184,489","87,197","62,451","87,634","104,065","132,604","219,583","407,124","1,370,080","3,531,014","4,065,400","1,760,130","636,693"
Italy,"6,074,589","5,570,697","761,051","71,008","457,092","3,598,699","9,193,115","13,699,856","8,222,637","3,842,877","972,020","1,014,513","1,009,592","1,501,914","1,172,374","1,248,840","3,816,419","8,513,351","13,779,593","16,039,134","10,695,851","7,215,521"
Cyprus,"117,222","142,075","53,040",139,0,"69,697","153,510","235,098","135,711","130,258","26,119","43,860","115,011",,,,,,,,,
Latvia,"163,822","156,083",:,"13,169","30,020","127,569","298,927","300,192","110,183","90,139","50,321","42,897","37,811","45,188","48,227","52,130","72,411","122,329","256,777","255,555","149,635","107,749"
Lithuania,"210,234","205,979","99,801","20,572","53,327","207,069","386,917","403,603","230,953","186,523","78,792","45,944","31,857","38,990","51,782","81,422","145,581","265,706","447,575","447,883","280,838","236,246"
Luxembourg,"77,660","68,503","38,812","3,591","11,205","45,924","75,443","102,181","65,445","64,399","52,586","49,875","36,553","35,135","42,497","57,778","70,874","64,455","94,458","105,983","77,374","88,056"
Hungary,"760,250","770,680","298,646","25,688","90,886","380,504","1,000,320","1,218,948","479,654","432,439","119,811","52,889","54,906","62,280","70,566","68,631","257,086","560,872","1,096,177","1,338,082","1,338,082","767,982"
Malta,"113,548","142,540","48,484",638,"1,161","15,358","76,716","112,076","76,334","53,945","27,690","37,224","25,710","38,332","17,704","15,268","36,166","92,683","126,314","150,576","141,821","143,079"
Netherlands,"2,622,000","2,811,267","1,426,047","363,836","923,596","2,395,184","4,190,999","4,739,935","3,234,662","2,123,933","1,288,419","1,180,896","735,566","949,893","979,255","1,578,578","3,186,715","3,221,780","4,184,335","4,836,021","3,794,737","3,817,756"
Austria,"3,435,324","3,816,610","1,124,431","43,397","219,739","1,487,572","3,449,498","4,001,716","2,529,359","1,224,544","202,294","137,160","138,261","163,900","221,981","211,800","796,351","2,006,445","3,738,430","4,608,339","3,242,361","2,451,663"
Poland,"2,291,506","2,378,371","881,365","86,386","387,177","1,314,252","2,711,895","3,208,081","2,194,007","1,363,224","586,655","475,050","213,149","697,443","651,958","379,809","1,101,217","2,252,173","3,592,764","3,854,142","2,994,328","2,661,755"
Portugal,"1,365,794","1,584,668","650,281","44,027","138,730","557,211","1,192,481","2,159,670","1,421,748","1,019,045","402,588","459,153","285,723","207,706","288,536","469,609","1,023,443","1,446,364","1,816,531","2,827,457","2,120,397","2,162,033"
Romania,"796,256","724,445",,"16,855","34,569","333,950","917,778","1,301,411","794,451","493,101","338,728","341,752","480,864","498,321","431,273","448,856","609,282","804,916","1,434,370","1,729,910","1,072,509","648,054"
Slovenia,"282,616","298,368",,0,"17,251","241,824","651,728","802,174","492,338","172,932","10,551","9,400","12,025","18,527","24,359","29,138","112,910","374,026","768,381","1,018,466","637,196","450,679"
Slovakia,"434,724","467,149",,"6,336","36,498","186,661","547,280","656,806","365,999","116,243","66,046","64,909","25,512","28,426","33,049","48,789","115,260","279,773","563,105","644,764","428,948","278,983"
Finland,"848,606","914,449","436,404","65,263","118,575","599,450","1,502,826","943,487","627,508","554,200","403,573","327,841","309,040","399,722","327,401","317,512","422,452","931,131","1,890,501","1,132,435","824,926","905,687"
Sweden,"1,670,434","1,886,125","1,067,913","515,513","935,872","1,560,627","3,837,170","2,585,871","1,597,586","1,614,348","683,486","656,869","678,620","854,470","903,337","1,036,043","1,419,468","2,357,586","5,035,516","3,758,070","2,138,258",:
Iceland,"225,429","252,980","145,449","12,002","54,429","183,153","534,419","367,160","76,010","37,021","20,262","22,984","26,756","43,609","47,786","42,797","105,015","316,534","616,055",:,:,:
