GEOLABEL,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
European Union,-0.8,1.4,-44.1,-91.2,-89.8,-84.2,-63.5,-53.4,-58.7,-61.6,-68.3,-66.9,-68.1,-73.0,-48.7,237.6,229.5,188.5,72.8,47.6,61.7,81.9,134.1,129.8
Belgium,-0.4,7.2,-34.3,-82.6,-80.3,-75.6,-56.7,-50.2,-57.9,-59.4,-60.3,-57.2,-59.8,-65.2,-47.5,102.6,99.9,121.9,62.6,50.7,78.4,87.0,108.9,93.6
Bulgaria,5.4,8.7,-30.5,-83.2,-78.4,-76.8,-61.1,-58.2,-55.3,-43.7,-54.1,-50.3,-57.6,-64.3,-41.7,163.9,83.8,78.0,52.5,63.2,54.7,45.8,63.1,62.5
Czechia,0.7,1.7,-48.2,-93.1,-92.6,-89.0,-72.8,-68.5,-70.1,-75.7,-79.6,-77.1,-78.2,-79.9,-62.6,180.7,211.6,200.3,64.2,51.5,63.9,114.6,191.3,160.1
Denmark,0.1,0.6,-45.2,-92.4,-92.2,-86.0,-67.9,-63.4,-63.8,-67.7,-74.1,-73.4,-78.7,-84.5,-68.0,153.0,166.9,119.3,67.5,55.2,66.1,101.0,178.6,186.5
Germany,-4.2,-2.7,-43.6,-88.7,-87.9,-81.7,-64.8,-58.0,-60.8,-63.4,-70.7,-70.5,-72.1,-76.3,-53.3,155.5,149.5,117.6,58.0,45.7,55.5,78.7,137.1,138.2
Estonia,-8.0,-1.8,-43.0,-91.7,-84.5,-74.2,-61.2,-60.6,-64.5,-70.0,-63.3,-64.7,-68.4,-72.6,-48.7,274.3,127.2,65.5,32.5,41.6,66.1,105.8,120.3,140.1
Ireland,-3.8,-0.7,-29.1,-91.7,-91.4,-89.8,-71.9,-64.5,-69.8,-74.3,-79.7,-80.4,-79.4,-85.2,-79.1,63.2,61.7,114.7,21.6,28.4,67.7,119.5,241.2,291.6
Greece,1.4,3.1,-33.2,-88.6,-91.1,-86.5,-58.7,-42.5,-48.7,-47.0,-59.6,-63.8,-60.5,-63.3,-41.6,162.7,272.1,313.3,102.7,61.7,72.2,87.5,131.1,153.0
Spain,-3.4,2.3,-42.8,-95.6,-95.1,-91.7,-63.2,-50.2,-63.7,-68.6,-70.8,-66.8,-70.9,-77.1,-54.2,516.4,579.5,452.0,81.4,46.5,95.1,142.8,175.0,152.4
