GEOLABEL,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
European Union,-4.80,0.66,-4.18,-12.79,-11.03,-7.18,-4.68,-2.12,-1.24,-0.44,-3.96,0.31,1.80,-1.32,5.25,15.41,10.04,6.92,3.69,1.90,1.86,-0.39,0
Belgium,-1.15,4.58,-2.66,-9.45,-5.36,-0.24,-0.34,1.95,-0.40,-1.32,-4.79,0.36,1.62,-3.35,3.56,13.14,8.66,5.16,3.80,-0.04,1.56,1.72,0
Bulgaria,-2.58,2.11,4.08,-5.19,-7.82,-6.97,-3.54,-5.18,-1.86,-0.33,6.67,-1.22,-3.66,-2.16,9.85,11.68,4.17,7.83,7.94,9.90,-0.23,6.34,0
Czechia,-2.94,1.01,-1.66,-12.06,-12.12,-5.63,-3.07,-3.03,-1.07,-0.41,-0.58,1.49,0.62,2.88,6.49,19.31,13.28,6.97,2.70,1.42,0.19,-0.68,2.38
Denmark,-0.02,11.03,1.74,0.11,-2.79,2.14,-7.25,0.27,-11.74,-3.33,-1.50,-18.75,9.03,4.96,5.96,9.04,7.03,2.77,9.97,1.06,15.28,13.79,9.38
Germany,-4.10,2.07,-4.80,-12.14,-14.02,-6.67,-6.31,-3.66,-2.57,-0.81,-2.39,0.00,-0.30,-4.15,2.30,13.82,11.47,8.37,4.40,1.79,2.15,1.23,0
Estonia,-8.80,2.91,0.11,-2.14,-4.30,-0.22,1.56,1.34,3.13,4.06,-2.23,13.56,15.35,8.16,6.03,6.81,4.02,4.72,3.29,-1.16,2.61,-3.38,3.63
Ireland,-5.96,4.64,0.23,-15.07,-12.01,-6.38,-3.33,-1.07,-1.46,-0.56,-9.03,-1.43,1.62,-3.61,1.03,12.56,12.53,6.42,4.13,3.89,3.42,1.29,4.59
Greece,-2.95,-0.47,-1.86,-10.76,-10.41,-16.50,-3.79,-8.69,-1.77,-3.55,1.63,-6.19,-10.78,-7.94,0.96,6.51,5.04,12.03,12.58,13.02,-2.57,3.41,-1.19
Spain,-2.90,-1.29,-4.68,-17.68,-13.73,-11.07,-4.38,-3.01,-3.66,-3.59,-6.08,1.22,0.40,-3.72,4.58,17.22,11.53,7.57,-1.09,0.04,2.26,-2.31,3.74
France,-7.55,-1.89,-3.99,-18.77,-13.21,-4.92,-3.96,-0.29,0.57,5.26,-9.69,1.07,5.48,-1.47,5.26,23.30,13.92,4.21,-0.03,-0.78,0.22,-6.92,11.42
Croatia,-2.97,0.19,1.93,-10.38,-15.00,-15.49,-8.79,-6.94,-5.00,-1.22,1.65,0.34,0.73,2.28,5.57,19.94,14.28,15.25,3.89,6.10,5.87,4.10,3.25
Italy,-3.97,0.46,-9.73,-16.96,-10.59,-12.91,-7.38,-1.49,-0.13,-0.56,-1.25,1.33,-1.27,-3.38,11.81,21.73,8.47,13.80,4.87,2.73,1.91,1.13,0
Cyprus,-3.99,7.82,-5.27,-18.46,-10.98,-19.91,-5.12,-5.42,7.87,1.57,4.87,2.76,-8.17,-13.83,4.05,16.84,9.30,16.08,15.83,17.21,-8.95,-2.89,0
Latvia,-6.51,0.49,-3.38,-3.79,-5.15,-3.62,-0.18,-1.90,-0.88,-0.48,-1.91,1.69,1.66,1.77,3.02,4.12,4.53,4.32,7.75,2.46,4.07,-0.81,1.79
Lithuania,-6.93,-1.36,-4.43,-9.00,-8.17,-5.44,-0.90,-0.03,-0.75,-3.48,0.33,-1.37,4.14,5.71,8.68,10.05,7.00,3.21,4.57,1.65,2.90,1.50,0
Luxembourg,-2.76,2.65,-16.24,-17.20,-10.60,-6.54,-4.07,6.29,-0.63,-3.47,3.18,4.87,0.55,-2.55,18.86,22.17,10.81,12.02,6.29,-0.38,2.72,3.31,0
Hungary,2.67,4.90,3.16,-7.59,-10.09,-8.35,0.05,-2.05,1.67,3.57,6.45,4.75,-0.59,1.68,3.94,14.76,11.42,15.00,10.47,5.35,0.50,2.36,0
Malta,-2.91,-2.28,-1.68,-10.03,-8.51,-17.86,-9.91,-2.20,-0.90,-5.54,-2.72,0.70,-3.00,-4.75,1.00,6.46,7.53,20.97,14.28,10.93,8.20,3.15,6.49
Netherlands,-1.23,5.89,-3.00,-5.98,-7.36,0.81,-1.49,4.51,3.08,0.51,-2.16,-0.05,1.67,-2.21,3.78,6.35,4.51,4.85,3.94,-3.80,-0.45,-4.23,-0.56
Austria,-3.14,1.14,-3.98,-13.19,-11.34,-6.21,-4.25,-2.41,-1.15,1.08,-0.67,-0.36,-2.10,-3.90,5.45,16.22,9.51,8.99,4.44,2.82,1.33,-0.62,3.13
Poland,-2.60,5.80,2.58,-4.47,-5.23,1.42,3.89,4.97,7.66,8.93,9.39,7.12,0.66,1.11,9.28,14.91,13.08,5.56,7.61,4.40,3.83,2.79,3.87
Portugal,0.46,0.79,-0.71,-11.45,-13.76,-7.69,-0.44,-1.69,-1.00,-2.69,-8.15,2.21,3.03,-2.76,-2.46,6.13,9.47,-6.59,-2.00,0.97,-0.24,0.20,0
Romania,-3.64,0.19,-5.42,-15.55,-14.14,-8.11,-2.07,-3.08,2.24,0.02,3.67,3.66,-6.21,1.40,12.22,23.09,13.73,7.92,6.52,2.69,-0.84,1.54,-1.46
Slovenia,-1.12,3.08,-3.63,-14.21,-13.67,-10.11,-8.80,-7.52,4.68,-3.91,-1.16,-1.37,-3.37,-5.64,3.26,13.32,11.87,8.68,3.76,1.51,-0.52,1.96,0
Slovakia,0.31,0.35,-6.31,-14.20,-13.05,-8.33,-7.22,-6.86,-3.43,-3.92,4.11,0.59,-4.84,1.26,9.33,18.81,17.95,12.63,12.08,7.70,3.99,5.21,4.97
Finland,-14.14,-6.70,-4.54,-2.59,-5.53,-5.32,-6.05,-5.57,-6.93,-7.56,-7.49,0.11,8.73,13.15,2.59,0.64,3.60,3.52,1.72,1.85,6.21,2.76,6.62
Sweden,-11.36,0.94,-0.77,-1.23,1.86,-2.00,-4.38,-3.06,-2.86,-5.61,-10.71,-1.61,14.14,5.95,2.45,7.16,0.48,-6.94,3.87,4.03,4.56,1.16,6.13
United Kingdom,-5.28,4.39,-1.16,-15.38,-13.14,-8.34,-8.09,-4.85,-3.56,-1.68,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,-8.06,2.92,-0.78,3.37,0.93,-4.37,2.16,3.03,2.24,-3.93,-9.87,-2.27,15.61,9.10,0.74,5.81,3.52,4.43,0.27,3.67,0.51,-0.47,4.08
