GEOLABEL,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
European Union,"135,061,548","146,972,897","62,710,204","9,747,961","24,189,207","94,607,822","267,668,004","339,051,917","170,765,114","100,405,510","32,731,311","30,301,217","25,484,628","30,103,490","35,314,860","37,997,045","85,032,898","157,907,143","352,408,603","430,529,868","248,254,258","179,249,343"
Belgium,"1,898,413","2,404,029","918,146","44,426","73,168","1,093,437","4,839,869","4,088,485","2,305,840","1,263,183","591,740","656,750","470,717","836,979","834,475","1,753,292","1,846,988","2,302,216","5,316,864","5,188,897","3,153,412","2,235,124"
Bulgaria,"1,066,126","1,053,528","381,025","49,472",0,"495,120","2,265,940","3,545,890","1,787,162",0,0,0,0,0,0,0,0,"1,646,718","4,250,515","5,361,523","2,023,725",0
Czechia,"3,514,803","3,929,702","1,635,841","81,804","429,257","2,201,231","6,871,927","7,139,896","3,452,626","1,197,798","442,717","484,892","335,030","381,541","359,352","395,358","934,486","2,903,526","7,395,153","7,500,977","4,481,833","3,655,783"
Denmark,"1,270,815","1,452,867","674,427","664,879","1,272,529","1,539,317","6,864,798","4,163,171","2,204,420","1,696,947","851,739","562,050","351,425","465,066","648,368","1,304,767","2,143,532","2,809,373","6,971,788","4,967,406","3,057,658","2,719,436"
Germany,"22,500,365","25,228,589","11,947,012","2,823,161","9,233,239","26,205,270","41,745,182","45,473,924","36,938,216","28,948,606","5,734,186","3,980,122","3,832,177","4,354,265","5,689,455","5,213,975","10,862,291","26,954,115","43,836,456","51,763,894","40,804,530","38,613,576"
Estonia,"411,047","414,584","177,167","43,078","83,417","301,351","652,213","591,183","284,855","283,959","224,428","206,730","183,803","187,189","119,652","129,304","179,836","383,890","700,899","626,713","392,782",0
Ireland,"2,052,495","2,024,056","1,281,687","14,206","35,398","73,849","2,597,141","4,943,328","1,528,376","545,123","272,886","771,709","274,137","145,024","136,953","123,068","145,980","1,284,952",0,0,0,0
Greece,"1,741,391","1,808,607",0,"66,553","94,550","902,492","6,908,326","12,335,085","7,722,629","5,250,308","569,759",0,0,0,0,0,"1,470,948","5,705,443","15,422,696","20,959,924","15,587,608","9,089,758"
Spain,"21,539,039","23,579,845","10,975,525",0,"572,162","3,916,553","21,755,739","31,661,014","13,395,196","7,849,462","4,357,310","5,074,994","3,838,466","3,691,649","5,591,945","6,815,389","10,943,797","21,297,135","42,459,108","56,811,555","36,224,053","32,127,003"
