GEOLABEL,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
European Union,0.7,0.9,0.7,0.9,0.2,0.6,0.1,0.6,0.8,0.2,0.3,0,-3.1,-11.3,11.7,-0.2,0,2.1,2.1
Euro area,0.7,0.8,0.7,0.9,0.1,0.5,0.1,0.6,0.7,0.2,0.2,0,-3.5,-11.7,12.6,-0.4,-0.2,2.2,2.2
Belgium,0.7,0.2,-0.1,0.8,0.4,0.5,0.4,1,0.3,0.4,0.7,0.7,-3.1,-11.6,11.9,-0.1,1.2,1.7,2
Bulgaria,0.7,0.7,0.7,0.7,0.7,0.6,0.5,0.4,4,-0.5,-0.4,0,-0.1,-7.2,2.9,1.8,1.4,0.8,0.6
Czechia,1.5,2.8,0.6,0.9,0.5,0.7,0.6,0.7,0.9,0.8,0.5,0.6,-3.4,-8.9,6.8,0.7,-0.4,1.3,1.5
Denmark,0.7,1.1,-0.4,0.8,0.5,0.5,0.6,0.5,0.7,0.6,0.3,0.1,-0.7,-6.3,6,0.9,-0.4,2.2,0.9
Germany,1.2,0.8,0.9,0.8,-0.4,0.6,-0.4,0.4,1.1,-0.5,0.4,-0.1,-1.8,-10,9,0.7,-1.9,2,1.7
Estonia,2,1.9,0.4,1.4,1.1,0.8,0.7,1.4,1.6,0.4,0.7,0.4,-1.2,-6,3.7,2.5,3.4,2.3,0.7
Ireland,-4.3,3.2,2.9,5.3,0.9,2.9,-1.2,1.3,2.2,2.2,-0.4,1.2,3.7,-3.3,9.5,-4.7,10,5.2,0.9
Greece,-0.3,0.6,1.1,-0.9,1.4,0.1,-0.2,0.6,0.9,0.8,0,-0.2,-1.6,-14.2,5.6,3.9,4.2,2.1,2.7
Spain,0.8,1.1,0.6,0.6,0.4,0.6,0.5,0.7,0.6,0.4,0.4,0.4,-5.4,-17.7,16.8,0.2,-0.6,1.1,2
France,0.8,0.8,0.6,0.9,0,0.4,0.4,0.7,0.6,0.6,0.1,-0.3,-5.7,-13.5,18.5,-1.1,0.1,1.3,3
Croatia,1.2,0.3,1.2,0.3,0,2.5,0,0.4,1.8,1.1,-0.5,0.5,-0.1,-14.2,3.9,4,7.3,0.8,2.7
Italy,0.5,0.4,0.4,0.5,0,0,0.1,0.3,0,0.2,0.1,-0.4,-5.7,-12.9,15.6,-1.6,0.3,2.7,2.6
Cyprus,1.9,0.4,0.8,1.9,2.6,0,0.9,2.2,2.4,0.2,0.9,0.3,-0.8,-12.3,8.9,1,1.4,1.5,1.5
Latvia,1.6,0.8,0.3,0.7,1.5,1.3,1.1,0.9,1.1,-0.1,-0.5,0.4,-1.1,-7.3,5.7,1.4,0.4,2.5,0.6
Lithuania,1.1,0.9,1,0.9,0.8,1.2,0.9,1.3,1.4,1.2,0.2,1.3,1.1,-5.5,2.8,1.8,2.1,2,0
Luxembourg,-1.5,1.4,1.3,0.4,0.4,-0.4,1.1,0.5,1.4,1.7,-0.5,-0.1,-1.1,-6.2,7.8,0.6,3.7,0,0.9
Hungary,1.4,1.2,0.9,1.4,1.8,1,1.4,1.1,1.7,0.4,1.1,0.7,-0.5,-14.4,11.4,1.8,1.5,2,0.7
Malta,7,1.2,1.8,0.6,0.4,3.6,2.5,-0.2,0.7,3,1.1,1.1,-3.9,-13.3,6.2,4.1,3.3,0.6,1.5
Netherlands,0.5,0.9,0.7,0.8,0.4,0.6,0.3,0.5,0.6,0.4,0.4,0.5,-1.6,-8.4,7.5,0,-0.8,3.8,1.9
Austria,0.5,0.6,0.5,0.7,0.9,0.4,0.1,1,0.9,-0.5,0.3,-0.3,-2.5,-11.4,10.9,-2,-0.4,4.2,3.8
Poland,0.9,0.9,1.1,1.8,1.3,1.3,1.4,0.9,1.9,0.7,1.1,0.4,0.1,-9.2,7.5,-0.2,1.6,1.8,2.3
Portugal,1.2,0.5,0.7,0.8,0.7,0.8,0.5,0.6,0.9,0.6,0.5,0.8,-4.4,-15.2,14.7,0.3,-3.3,4.4,2.9
Romania,2.5,1.3,2.3,0.7,0.4,1.8,1.2,0.4,1.7,0.9,0.3,0.7,0.4,-11.2,5.7,3.8,2.2,1.5,0.4
Slovenia,1.8,1.2,0.8,2.3,0.2,1.2,1.2,1.4,0.5,-0.3,1.3,1.4,-4.6,-9.4,11.9,-0.2,1.5,2,1.3
