GEOLABEL,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
European Union,110.7,111.5,110.6,111.1,110.4,110.9,109.7,113.5,113.3,97.7,84,102,106.7,107.2,110.7,108.1,107.9,110.2,109.4,110.5,108.7,112.2,112.1,112.4,111.7,111,109.5,110.7,112.3
Euro area,109.7,109.6,108.7,109.5,108.5,109.2,108,111.8,111.2,93.4,76.9,98.9,105,105.8,109.6,106.3,106,108.8,107.8,108.8,106.7,110.7,110.3,110.5,109.6,108.7,107.7,108.8,110.5
Belgium,101.6,102.5,100.2,100.6,100,101.6,99.8,101.6,99.7,87.2,83.9,93.6,95.9,97.9,96.6,96.5,96.7,96.1,95.1,101.7,96.7,102,99.1,98.2,98.1,99,97,97.7,97.8
Bulgaria,90.6,91.9,91.7,91.4,91.5,90.5,90.4,90.9,90.4,85.3,84.7,84.9,88.2,87.5,86.8,87.7,86.5,86.2,86.2,85.5,87.8,90.4,90.3,88.3,89.5,88.9,89.3,89.3,88.3
Czechia,111.2,112.9,108.8,109.7,109.7,109.3,111.5,110.2,112.2,109.1,108,102.5,100.2,102.3,101.7,101.1,100.8,103,100.3,106.1,101.3,104.7,103.6,105.8,105.9,103.2,103.7,104.3,104.7
Denmark,110.9,113.4,115.3,115.6,115.7,116.9,114,114.2,118.2,110.6,119.7,116.9,117.1,114.5,121.2,121,121.1,121.2,120.4,123.5,122.9,122,127.3,126.1,127.9,131.6,124.5,125.3,:
Germany,112.2,113.5,112.6,113.5,111.6,113.5,112.6,119.4,117.7,118.1,113.3,113.8,116.2,111.6,112.8,113.8,114.7,117.1,124.5,111.1,110.5,119.6,116.9,118.1,115.2,115.8,112.8,115.3,116.7
Spain,104.7,103.7,101.8,100,101.9,100.2,97,95.3,98.2,95.1,74.1,88.5,92.5,92.7,93,90,87.7,88,89.4,89.7,85.6,85.7,86.1,88.4,84.9,83.9,83.3,84.5,84.5
France,104.6,102.7,100.5,103.9,100.5,104.4,99.5,101.7,101.7,62,36.2,81.5,92.1,96.2,103.9,95.4,94.5,99.9,91.4,103.8,98,96.4,96.7,99.3,97.6,96.7,96.2,96.1,100.8
Croatia,114.8,119.5,120.1,121.7,122.3,124,126,127.7,130.7,116.9,113.3,116.7,124.2,124.9,124.6,127.8,129.4,129.8,130.9,134.1,134.7,135.1,136.1,135.9,137.6,133.5,138.4,137.9,137.2
Italy,106.5,105.6,105,104.2,105.9,102,106.4,112.4,109.4,67.3,31.6,88.1,101.5,106.3,117.9,108.7,107.5,110.2,105.8,111.7,113.3,118.6,121.3,116.9,118.9,118,119.9,121.4,122.4
Luxembourg,109.3,110.7,111.9,109.1,112.4,106.7,109,118.6,113.6,69.3,53,107.3,108.9,116.5,102.8,108,101.8,105.7,106.5,107.5,108.6,112.6,111.9,109.4,114,110.1,104.2,103.8,:
