GEOLABEL,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
European Union,99.1,99.1,99,99.6,99.9,100,100.5,100.4,100.4,100.5,99.8,101.4,101.5,101.5,101.2,101.4,101.7,101.6,102.3,102.3,102.1,103.7,102.7,103.3,103.5,103.6,104.7,104.3,104.9,105.1,105.4,104.8,106.3,104.9,106.7,106.8,105.9,105.9,106.7,107.2,107.5,107.3,107.4,107.4,107.3,108,108.7,108.1,108.8,109.3,109.7,110.4,109.1,110.5,110.4,110.5,110.7,110.4,111.5,110.8,111.7,112.3,102.2,91.1,106.6,111.8,111.6,114.8,113.4,114.9,110.3,111.9,107,111.5,115.7,111.8,116.7,118.5,116.4,117.2,116.9,117.2,:
Euro area,99.3,99.3,98.9,99.8,100.1,100.1,100.7,100.5,100.4,100.3,99.5,101.1,101.1,101.2,100.9,100.9,101.2,101.1,101.9,101.9,101.5,103.3,102.1,102.9,102.7,102.9,104,103.6,104.1,104.3,104.5,103.8,105.4,103.7,105.6,105.7,104.7,104.7,105.6,105.9,106,106,106.1,106,105.8,106.6,107.1,106.5,107.3,107.8,108.1,108.6,107.6,108.9,108.7,108.8,109,108.5,109.7,108.8,109.6,110.1,99.5,88.1,104.8,110.3,109.6,113.4,111.7,113.3,107.8,109.9,104.4,109.2,113.5,109.5,114.1,116.3,113.7,114.7,114.2,114.4,:
Belgium,100.7,101.6,99.9,101.3,100,100.2,100.6,100.2,100.4,99.5,97.5,99.3,99.5,98.1,98.7,98.3,99.9,98.1,99.9,100.6,99.4,101.3,99.7,100.3,100.2,98.5,100.4,99.9,100,100.5,99.5,99.1,101.5,99.6,101.9,100.1,99.6,100.9,100.8,99.6,100,99.6,100.8,100.5,100.4,99.8,100.7,100,99.8,100.2,100.4,101.3,99.9,99.5,101.6,100.4,102.3,100.6,102.6,102.5,101.7,100.2,97.9,90.8,102.4,105.4,102.6,113.3,106.1,107.8,99,107.3,107.6,110.7,110.9,107.9,109.3,108.6,105.9,107.5,107.9,107.9,:
Bulgaria,100.7,99.6,98,98.2,98.8,98.6,99.9,99.2,100.6,101.4,101.6,102.8,102.6,103.8,104.1,105.7,104.6,106.6,106,107.2,107.4,107.4,108.6,108.6,109.6,109.9,111.3,109.9,111.5,111,111.7,112.1,112.4,112.8,112.7,114,112.9,113.8,113.7,114.6,115.2,115.7,115.1,116.2,116.1,117.2,117.7,117.8,119.5,118.7,119.3,120.9,121.2,120.6,122.4,121.1,120.8,120.9,122,128.8,122.3,123.7,101.2,101,102,103.8,104.6,106.9,109.1,110.6,112,113.5,117.4,117.3,120.2,121.8,123.8,125.5,124,122.3,122.9,123.6,:
Czechia,97.8,98.2,98.3,98.3,99.7,99.2,100.1,100,100.9,102.5,101.4,103.6,103.6,103.1,102.6,103.6,103.6,104.7,104.8,105.6,105.5,106.9,106.8,106.2,106.9,108.3,109.6,109.5,110.6,111.4,110.8,111.6,113.4,111.9,114,113.6,114.8,114.7,114.1,115.7,116.8,115.5,116.8,116.8,117.5,117.6,118.9,119.2,119.8,120.7,121,122,120.4,123,122,122.6,123.2,123.1,123.1,124.7,125.2,124.5,111,111.3,121.8,122.6,124.9,124.4,124.8,123.4,116.6,122.4,116.4,120,118.4,119.8,130.3,130.8,130.4,130.8,130.5,132.3,:
Denmark,100.1,99.8,101.9,98.1,98.7,99.7,100.3,100.9,99.7,101.4,100.5,100.8,101.9,101,101.1,101.4,100.7,100.4,101.1,101.3,101.2,103.7,102,99.1,101.2,101.6,101,102.4,102,101.3,101.9,101.6,102.4,102,103,102.4,102.6,102.2,103.5,103.5,104.9,103.9,103,104.4,105,103,105.2,103.6,102.4,103.8,104.4,105.2,104.6,105.2,104.4,105,106.1,103.6,104.1,103.9,104.3,104,100.5,102.3,111,111.7,110.7,109.4,109.2,116.1,113.5,104.6,97.9,103.5,122.4,113.5,117.4,116.8,115.8,114.4,112.7,114.2,113.7
Germany,98.6,98.7,98.3,99.1,100.4,99.7,101,100.7,100.8,100.8,100.6,102.3,101.9,101.3,100.9,100.8,101.4,101,102.3,102.5,101.3,104.6,102.3,105.1,103.1,103.7,106.4,104.7,105.7,106,105.9,105.3,107,105.7,106.8,109,106,105.1,106.3,109.3,107.1,108.1,108,107.3,107.4,108,108.7,108.3,109.9,110.3,111,110.6,108.9,112.4,111.7,111.1,112,110.3,112.4,111.2,112.3,112.7,111.9,104.8,117.8,117,117.1,118.7,117.9,120.1,123.3,113.5,106.5,110.3,120.6,112.8,118.1,123.5,118.2,119.3,117.5,117.6,0
Estonia,96.9,97.1,97.6,98.8,99,100.2,101.5,101.6,100.7,101.6,100.8,103.6,104.2,102.9,101.6,103.6,104.2,103.6,104,103.5,104.3,104.4,106,105.4,105,103.8,105.2,107.1,106.7,107.2,105.7,105.6,105.1,105.9,105.1,107.1,104.5,105.2,106,106.7,107.8,106,107,106.8,108.4,107.8,109.2,108.5,109.3,110.4,112.2,115,110.8,110.2,110.6,111.9,112.5,112.4,112.8,112.4,114.8,115.8,113.7,105.7,112.2,115.1,116.7,116.5,117.8,119.1,120.2,119.6,121.6,121.7,120,120.3,130,130.5,129,127.5,136.5,133,0
Ireland,97.1,97.8,97.9,99.6,97,98.7,100.4,100.8,101.1,100.8,100.6,101.9,102.5,104.7,104,103.9,104,104.6,104.1,105.7,104.2,105.2,106.5,105.4,107.1,107.8,108.8,109.1,110.9,111.4,111.6,111.8,110.3,111.9,115.6,112,113.2,113.2,110.1,113.5,114.7,117.5,115.6,116.4,116.6,116.8,118.1,116.1,118.6,120.6,119.5,121.9,118.6,120.5,121.8,121.6,121,120.8,121.3,122.5,122.6,122.1,123.7,96.6,107.2,131.5,132.5,133.5,136.5,137.3,123.1,135.6,115.2,124.4,125.4,125,129.7,141.6,133.1,135.6,136.4,136.5,0
Greece,101.1,100.6,101.4,100.9,104,101.5,93.9,101,98.4,99.4,97.9,100.4,99.7,94.4,100.1,98.9,98.1,97.6,101.6,98.8,100.5,101.8,101.8,99.8,100.2,103.6,99.2,101.2,99,100.7,102.6,99.4,99.3,101.2,99.5,102,101.9,103.3,100.6,103.1,103.3,101.7,104.5,102.4,101.5,97.1,102.5,102.6,99.1,100.9,105.4,101,101.4,103.5,102.4,104,105.7,102.9,106.6,101.6,105.3,104.2,103.3,76.4,98.1,98.8,99.7,103.2,101.2,106.4,99.5,90.3,102.9,102.2,103.3,106.9,111.8,112.9,110.7,108.9,111.3,0,0
