country,lat,lng
Belgium,50.8333,4.3333
Bulgaria,42.6979,23.3217
Czechia,50.0833,14.4167
Denmark,55.6761,12.5689
Germany,52.520008,13.404954
Estonia,59.436962,24.753574
Ireland,53.35014,-6.266155
Greece,37.98381,23.727539
Spain,40.416775,-3.70379
France,48.864716,2.349014
Croatia,45.815399,15.966568
Italy,45.464664,9.18854
Cyprus,33.382275,35.185566
Latvia,56.949649,24.105186
Lithuania,54.687157,25.279652
Luxembourg,49.815273,6.129583
Hungary,47.526642,19.046394
Malta,35.884445,14.506944
Netherlands,52.370216,4.895168
Austria,48.210033,16.363449
Poland,52.237049,21.017532
Portugal,38.722252,-9.139337
Romania,44.426767, 26.102538
Slovenia,46.55465,15.645881
Slovakia,48.1458923,17.1071373
Finland,60.165249,24.936056
Sweden,59.334591,18.06324
United Kingdom,51.509865,-0.118092
Iceland, 64.128288,-21.827774
Norway,59.913869,10.752245
Switzerland,46.947456,7.451123
North Macedonia,41.99646,21.43141
Serbia,44.787197,20.457273
Turkey,39.92077,32.85411
United States,40.73061,-73.935242
