GEOLABEL,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10
European Union,-5.7,-2.5,13.7,25.3,3.1,1.8,2.8,7.6,8,17.3,40,29.6,15.9,6,10.7,20.9,10.6,6.8,5.4,8.7,12.3,17
Belgium,-4.1,-4.9,11.8,73.1,8.1,-1.1,-7.1,17.8,1.7,22.5,58.8,18.9,1.8,-9,-10.3,7,5,0.9,-2,-0.9,2.8,10.7
Bulgaria,-10.9,1.1,-3.6,-2,-2.8,-0.2,5.7,6.1,5.1,12.9,94.4,74.6,0.1,5.6,53.4,76.9,26.3,8.6,7.5,19.1,50.4,73.3
Czechia,-2,0,-0.9,2.9,-1.3,3.9,4.1,6.9,11.4,52.8,75.8,45,54.5,41,62.1,31,7.3,1,-0.4,-1.1,4.7,8.5
Denmark,-2.1,-7,-3.9,6.4,-0.9,0.8,2.2,1.5,4.2,1.8,5.5,10.6,10.8,-7.3,-12.1,-2.4,5.8,6,8.1,12.3,11.1,13.7
Germany,-2.4,-4.3,-2.6,9,1.7,2.5,-0.5,7.2,6,5.4,13,30.9,23.1,-1.9,-9.2,6.7,8,8.4,3.2,3.9,10.5,10.6
Estonia,-9.5,-5.7,-0.9,5,1.2,1.9,3.6,4.1,7.3,0.7,5.8,13.6,12.5,9.4,30.7,26.6,14.2,18.6,14.9,10.2,20.7,26.7
Greece,0.8,6.6,7.6,1.3,3.5,-1.5,5.6,6.5,10.3,4.2,28.1,19.9,-8,-2.8,16,24.8,21.4,12.8,21.2,34.1,25.8,25.3
Spain,-4.8,-2.7,54.3,80.8,5.5,-3,6.6,12.3,15,22.1,24.4,7.3,18.4,10.5,0,4.3,4.7,4.4,9.9,21.1,12.4,5.4
France,-5.4,-2,15.5,36.4,2.2,2.5,-0.6,6.3,7.6,16.3,31.3,15.8,10.1,8.9,7.2,16.9,9.3,2.5,2.5,11.1,8.7,5.9
Croatia,-14,-2.1,2.2,-3.7,-6.1,1.1,2.3,2.1,7.8,12.3,44.7,60.6,7.7,2.3,2.5,30.8,24.4,15.1,5.8,7.2,19.6,20.7
