GEOLABEL,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
European Union,"10,265","8,700","8,210","8,620","9,535","9,595","11,580","11,300","12,225","11,960","10,335","9,275","12,915","12,380","12,700","12,785","12,165","12,985","14,385","13,940","14,295","15,835","15,860","14,690","13,215","14,855","16,205","12,595","12,385","13,130","13,660","15,735","18,560","20,215","17,990","16,370","15,715","17,435","19,760","17,865","23,015","20,725","20,045","20,500","21,770","21,240","20,130","19,135","18,115","17,035","17,405","15,855","17,775","18,350","20,960","21,725","24,075","30,900","26,765","21,430","22,970","20,635","22,815","26,025","27,135","28,860","30,360","28,785","33,765","37,380","32,390","27,065","33,285","28,605","30,150","32,535","36,680","38,870","48,505","47,300","58,590","59,695","56,075","60,275","58,510","63,760","59,570","57,150","65,565","87,115","111,940","137,650","161,295","162,020","151,220","101,065","93,470","106,290","98,075","101,850","95,890","115,910","111,610","130,100","115,595","75,240","67,150","55,630","54,885","52,630","58,475","44,125","50,985","52,895","52,845","55,225","52,970","52,910","51,660","40,660","51,490","44,070","44,595","45,565","47,075","45,220","48,665","46,085","47,235","54,730","50,875","38,515","53,730","50,310","51,475","48,395","50,455","44,820","55,580","49,825","54,460","62,920","59,905","49,410","62,595","55,735","31,475","7,990","12,020","27,915","37,565","36,450","38,555","39,310","36,780","30,690","31,395","29,510","34,295","32,560","33,335","39,350","44,550","50,155","60,810",:,:
Belgium,"1,060",845,735,725,805,890,935,940,"1,035","1,230","1,015",885,"1,270",955,"1,010",990,985,"1,045","1,210","1,275","1,550","1,910","2,050","2,355","1,240","2,480","1,520","1,145","1,255","1,320","1,550","1,965","2,245","2,450","2,225","2,160","1,870","1,840","2,300","2,065","1,805","1,690","1,795","2,310","2,545","2,650","2,290","2,195","1,845","1,540","1,510","1,395","1,520","1,395","1,550","1,460","1,660","1,725","1,390","1,345","1,185","1,020",950,895,885,860,"1,080",975,"1,225","1,080",955,855,990,785,850,900,845,"1,090","1,265","1,510","1,725","1,540","1,145","1,405","1,210","1,070","1,160","1,110","1,615","2,315","3,130","5,160","6,360","5,525","5,530","4,810","2,395","1,310","1,015",925,830,775,"1,035","1,250","1,100","1,290","1,170","1,155","1,150","1,080","1,210","1,080","1,080","1,045","1,170","1,240","1,315","1,345","1,235","1,085","1,455","1,200","1,345","1,125","1,320","1,165","1,810","1,770","1,985","2,205","1,665","1,080","2,270","1,665","1,755","1,785","1,500","1,625","1,925","1,940","2,230","2,480","2,070","1,855","2,225","1,625",895,170,225,320,710,"1,070","1,365","1,435","1,505","1,365",950,960,"1,135","1,185","1,080","1,445","1,640","2,080","2,620","2,030",:
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,60,45,25,45,60,70,55,70,65,30,60,55,50,30,65,65,55,105,105,190,200,255,245,215,410,250,275,410,435,695,940,"1,230","1,245",630,810,770,395,295,515,610,890,"1,090","1,195","1,400","1,355","1,480","1,055","1,025","1,105","1,120","1,325","1,605","1,850","1,435","2,060","3,530","2,395","1,660","1,910","1,155",990,"1,045","1,080","1,385","1,505","2,790","2,065","2,550","1,730",795,375,355,505,200,255,230,215,305,365,315,180,170,150,60,85,90,80,95,145,350,305,485,340,280,135,75,75,105,265,195,245,310,280,215,95,80,80,35,70,60,25,90,250,405,580,595,740,535,335,230,270,560,280,575,850,"1,525","1,275",:,:
Czechia,155,150,135,100,60,55,50,60,70,110,65,45,80,65,50,50,60,45,45,35,40,50,45,55,30,35,55,40,35,35,20,35,25,20,20,40,30,30,40,35,40,30,45,40,60,50,50,30,45,55,40,20,50,50,25,50,30,60,35,45,45,30,50,35,40,35,40,65,30,40,35,40,40,35,70,65,80,55,75,85,125,100,70,110,95,90,170,105,85,85,75,85,100,115,115,110,100,150,110,115,75,90,85,90,115,120,80,75,110,90,95,70,110,90,105,85,95,110,90,80,110,95,95,95,110,90,125,120,115,115,150,135,170,200,165,125,135,100,135,130,95,100,115,105,85,90,40,15,20,35,105,65,80,95,100,65,55,50,60,70,75,85,75,255,100,:,:
Denmark,235,165,130,160,155,145,130,210,250,245,275,245,335,260,340,215,300,205,225,315,375,355,410,385,405,420,390,370,390,320,370,535,455,540,425,440,360,280,320,285,290,270,260,300,355,430,380,420,395,315,455,440,415,615,560,490,515,610,640,595,745,545,575,535,475,500,610,670,645,710,635,520,555,425,500,590,710,"1,000","1,700","2,290","3,065","1,840","1,105",755,630,425,450,545,870,"1,075","1,030","1,810","2,680","3,625","5,020","2,665","1,625",900,460,395,360,465,395,285,295,340,275,255,220,205,245,235,280,290,300,300,310,275,260,210,275,265,260,245,275,250,345,380,355,340,295,180,230,210,210,195,220,200,220,230,235,265,195,190,195,160,105,35,45,100,120,130,150,145,135,100,90,105,185,90,105,120,90,150,245,260,:
Germany,"2,395","1,815","1,535","1,690","1,595","1,670","1,790","1,660","1,965","1,945","1,730","1,540","2,435","2,035","2,075","1,950","1,885","2,000","2,605","2,525","2,690","2,685","2,515","2,170","2,715","2,435","2,705","2,455","2,410","2,890","3,375","4,085","4,765","4,975","4,740","3,695","3,895","3,365","3,625","3,030","3,495","3,255","3,550","4,060","4,180","4,180","4,885","4,170","4,655","3,905","3,695","3,285","3,585","4,120","4,745","5,480","6,915","10,195","8,965","4,870","7,505","5,955","5,770","7,705","7,670","8,590","9,790","9,815","11,720","13,265","12,385","9,210","12,905","10,160","10,165","10,475","11,555","12,475","16,800","16,025","17,065","19,225","19,030","17,055","22,905","24,065","29,995","25,830","25,105","34,075","36,505","36,305","44,480","58,125","57,685","46,725","57,215","72,830","65,270","66,250","59,695","78,625","76,545","92,105","76,500","32,385","25,895","18,965","18,745","17,435","19,875","14,580","16,180","14,960","16,105","18,280","16,175","15,915","17,520","12,485","16,960","14,085","13,865","12,970","12,245","13,465","14,980","14,590","12,430","14,245","13,150","8,900","15,475","13,175","11,860","11,660","12,180","9,315","13,335","12,195","11,690","12,040","11,165","8,355","13,245","11,030","7,865","5,620","4,490","5,610","8,590","8,155","10,475","9,830","10,160","7,460","9,705","8,765","10,805","9,545","9,735","11,515","13,270","13,045","13,845",:,:
Estonia,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5,5,5,5,5,5,5,0,5,5,5,0,5,5,0,0,0,0,5,5,5,5,10,5,10,5,10,5,5,0,10,5,5,5,25,10,0,5,0,5,0,5,10,10,5,10,15,0,10,0,5,5,15,5,10,5,5,10,10,15,15,20,15,25,10,5,5,15,30,30,10,25,20,10,45,20,10,10,0,0,10,15,25,10,10,10,20,20,25,5,25,15,20,30,20,20,10,15,10,15,5,5,5,0,5,5,5,0,30,10,10,10,5,5,5,5,5,5,10,15,10,15,10,5,5,5,5,10,0,0,0,0,5,5,5,5,5,5,5,0,0,0,5,15,5,20,5,0,:
Ireland,310,290,295,295,295,320,330,325,360,355,320,295,250,270,270,235,225,240,205,225,195,205,175,160,190,175,165,160,180,155,160,170,150,140,155,120,135,125,125,85,100,115,110,110,95,70,115,95,100,85,55,65,75,70,90,85,65,105,70,70,80,80,65,90,80,70,70,65,80,80,110,70,100,85,110,95,105,105,130,125,140,130,155,170,215,200,210,265,255,335,290,330,405,265,290,210,210,190,140,155,140,155,160,195,220,185,225,260,165,225,215,170,295,210,175,215,335,315,290,305,310,285,375,220,220,235,300,325,360,375,305,345,400,340,360,340,385,385,445,415,665,430,285,295,305,240,175,30,15,40,105,110,165,125,65,155,140,80,135,110,120,110,155,260,330,:,:
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,:,0,920,"1,005",455,815,685,990,650,790,740,875,785,555,680,710,885,720,805,590,750,745,"1,255","1,030",850,755,705,610,745,595,530,760,575,630,750,670,540,650,760,630,655,635,535,660,390,555,745,580,790,925,895,790,855,"1,005","1,000","1,065",880,940,845,"1,000","1,160","1,050","1,320","2,820","3,615","4,215","4,185","3,940","3,450","5,040","6,160","7,470","6,615","6,250","5,520","4,750","2,605","3,900","4,035","3,970","4,890","5,740","6,200","5,220","3,860","4,630","3,945","4,375","5,095","5,650","5,585","5,900","4,940","5,830","7,065","6,900","5,065","5,335","5,290","5,305","4,455","4,720","4,160","5,550","5,335","6,735","9,490","10,315","8,215","9,210","8,510","2,320",0,650,"3,380","4,705","2,255","2,345","1,595","1,340","1,550","1,740","1,525","1,380","1,995","2,040","1,800","1,725","1,615","2,180",:,:
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,200,205,185,170,190,245,245,265,220,270,185,205,270,265,375,305,190,155,265,355,235,190,160,200,190,180,145,195,265,170,190,185,230,245,160,270,425,415,385,430,435,410,290,345,335,295,255,280,330,400,345,335,405,450,435,530,720,630,600,835,850,"1,220","1,330","1,055","1,290","1,145","1,030","1,405","1,470","1,740","1,225","1,095",925,885,"1,155","1,315","1,500","1,005","1,220","1,305","1,705","1,905","1,555","2,080","2,270","2,365","1,940","2,725","4,940","2,690","3,190","2,830","2,830","2,965","2,205","3,080","2,830","2,845","4,720","6,515","4,940","4,340","3,800","4,530","5,505","5,415","4,210","6,480","8,950","10,335","8,990","10,430","8,745","9,780","7,810","8,225","11,105","13,850","10,490","14,395","14,210","7,960",60,55,"7,095","8,985","10,305","7,590","6,310","5,620","3,800","3,935","4,375","4,250","3,860","4,030","4,540","4,340","4,205","6,230","7,055","8,545"
