GEOLABEL,2020-W01,2020-W02,2020-W03,2020-W04,2020-W05,2020-W06,2020-W07,2020-W08,2020-W09,2020-W10,2020-W11,2020-W12,2020-W13,2020-W14,2020-W15,2020-W16,2020-W17,2020-W18,2020-W19,2020-W20,2020-W21,2020-W22,2020-W23,2020-W24,2020-W25,2020-W26,2020-W27,2020-W28,2020-W29,2020-W30,2020-W31,2020-W32,2020-W33,2020-W34,2020-W35,2020-W36,2020-W37,2020-W38,2020-W39,2020-W40,2020-W41,2020-W42,2020-W43,2020-W44,2020-W45,2020-W46,2020-W47,2020-W48,2020-W49,2020-W50,2020-W51,2020-W52,2020-W53,2021-W01,2021-W02,2021-W03,2021-W04,2021-W05,2021-W06,2021-W07,2021-W08,2021-W09,2021-W10,2021-W11,2021-W12,2021-W13,2021-W14,2021-W15,2021-W16,2021-W17,2021-W18,2021-W19,2021-W20,2021-W21,2021-W22,2021-W23,2021-W24,2021-W25,2021-W26,2021-W27,2021-W28,2021-W29,2021-W30,2021-W31,2021-W32,2021-W33,2021-W34,2021-W35,2021-W36,2021-W37,2021-W38,2021-W39,2021-W40,2021-W41,2021-W42,2021-W43,2021-W44,2021-W45,2021-W46,2021-W47,2021-W48,2021-W49,2021-W50
Belgium,"2,234","2,388","2,314","2,204","2,356","2,169","2,307","2,301","2,249","2,212","2,234","2,554","3,198","4,021","4,292","3,703","3,039","2,429","2,390","2,042","2,082","1,983","1,799","1,899","1,822","1,968","1,768","1,682","1,859","1,810","1,947","2,046","2,882","2,215","1,879","1,891","1,825","2,004","1,916","1,920","2,060","2,157","2,629","3,282","3,689","3,432","3,179","2,893","2,704","2,780","2,736","2,617","2,444","2,473","2,407","2,440","2,445","2,281","2,228","2,320","2,147","2,019","2,164","2,107","2,115","2,227","2,215","2,171","2,220","2,209","2,263","2,076","2,026","1,992","1,987","1,880","1,967","1,780","1,927","1,822","1,909","2,001","1,882","1,873","1,889","1,837","1,860","1,952","2,008","1,894","1,885","1,941","2,052","2,210","2,332","2,318","2,267","2,368","2,393","2,454","2,668",:,:
Bulgaria,"2,111","2,279","2,185","2,393","2,439","2,350","2,310","2,161","2,183","2,049","2,075","2,044","2,082","2,041","2,030","2,024","1,981","1,891","1,913","2,087","1,898","1,799","1,922","1,951","1,930","1,904","2,138","2,043","1,846","1,987","2,161","2,059","1,975","1,911","1,937","1,946","1,912","1,849","1,844","1,986","2,084","2,157","2,372","2,732","3,236","3,948","4,407","4,739","4,753","4,370","3,945","3,242","2,965","2,623","2,486","2,524","2,457","2,382","2,368","2,483","2,582","2,752","3,016","3,387","3,679","4,040","3,779","3,734","3,429","3,132","2,792","2,547","2,354","2,180","2,088","2,053","2,023","2,285","2,135","2,094","2,083","1,927","2,088","2,236","2,233","2,071","2,338","2,466","2,640","2,882","2,759","2,829","3,052","3,382","3,801","3,999","4,106","4,036","3,928","3,597","3,401","3,225",:
Czechia,"2,305","2,325","2,244","2,337","2,364","2,355","2,391","2,350","2,360","2,294","2,295","2,325","2,297","2,320","2,244","2,125","2,036","2,109","1,999","2,026","1,919","1,939","2,135","1,983","2,022","2,082","2,111","1,999","1,989","2,088","2,227","2,166","2,187","2,104","2,033","2,038","2,089","2,220","2,392","2,381","2,609","2,946","3,647","4,226","4,238","3,852","3,424","3,169","3,100","3,104","3,242","3,214","3,546","3,839","3,749","3,591","3,443","3,270","3,436","3,476","3,626","3,919","4,028","3,832","3,468","3,386","2,946","2,640","2,510","2,472","2,299","2,246","2,051","1,958","2,052","1,963","2,053","1,999","1,879","1,929","2,022","1,955","2,095","1,900","2,021","1,974","1,948","2,002","2,065","2,114","2,083","2,073","2,089","2,196","2,284","2,529","2,525",:,:,:,:,:,:
Denmark,"1,117","1,150","1,071","1,033","1,094","1,079","1,059","1,034","1,025","1,061","1,066","1,140","1,112","1,156","1,143","1,078","1,086","1,048","1,027",951,994,968,962,"1,000",948,984,996,957,"1,026",944,983,957,993,995,953,985,984,"1,082",974,996,938,"1,008","1,096",979,"1,026","1,097","1,082","1,097","1,105","1,095","1,273","1,212","1,259","1,234","1,213","1,270","1,218","1,206","1,113","1,062",969,974,"1,052",968,"1,034",973,974,"1,030","1,059","1,014","1,120","1,046","1,049","1,032","1,030","1,052","1,000","1,006","1,061",956,"1,075","1,050","1,057","1,134","1,085","1,048","1,062","1,052","1,093","1,051","1,050","1,137","1,064","1,161","1,128","1,137","1,140","1,142","1,128","1,206","1,205","1,238",:
Germany,"18,883","19,408","18,953","18,827","19,774","19,038","19,648","18,953","19,505","19,667","19,849","19,722","19,678","20,662","20,502","19,261","18,557","17,920","17,651","17,001","17,163","16,776","17,262","16,601","16,401","17,293","16,457","16,142","16,537","16,887","17,433","17,470","19,720","17,559","16,656","16,789","17,155","17,555","17,446","17,614","17,501","17,754","18,588","18,584","19,007","19,727","20,182","21,304","22,604","24,003","24,724","25,554","25,496","24,840","24,498","24,070","22,639","21,732","20,926","20,462","18,945","18,430","18,597","18,327","18,378","18,488","18,813","19,054","19,225","19,493","19,303","18,583","17,781","17,142","18,147","17,392","19,029","17,161","16,968","16,937","17,603","17,558","17,178","16,971","17,509","17,406","17,114","17,280","18,764","17,952","18,016","17,978","18,048","18,730","19,567","19,964","19,993","20,784","22,071","22,949","23,604","23,410",:
Estonia,294,326,308,299,307,271,322,331,315,293,340,311,325,312,310,309,319,304,307,285,278,301,269,273,279,287,268,270,284,296,304,281,295,265,298,280,256,312,330,301,274,309,304,267,287,291,317,334,339,348,344,360,368,382,395,407,353,353,379,348,406,422,422,425,405,414,398,388,362,315,351,349,318,319,293,303,297,395,314,371,324,276,286,310,311,288,299,326,346,298,351,347,338,358,364,418,421,394,399,422,366,377,365
Greece,"2,751","2,923","2,863","2,774","2,990","2,850","2,782","2,469","2,545","2,645","2,594","2,548","2,439","2,454","2,362","2,268","2,203","2,307","2,128","2,474","2,329","1,961","2,101","2,211","2,354","2,181","2,671","2,304","2,137","2,235","2,714","2,528","2,367","2,361","2,298","2,315","2,274","2,276","2,156","2,223","2,214","2,144","2,223","2,413","2,547","2,784","3,149","3,297","3,336","3,115","2,938","2,763","2,678","2,645","2,488","2,648","2,621","2,493","2,463","2,529","2,667","2,724","2,655","2,783","2,758","2,929","2,898","2,968","2,665","2,804","2,937","2,436","2,500","2,585","2,316","2,393","2,313","2,959","3,154","2,702","2,699","2,449","2,825","3,885","2,950","2,668","2,777","2,564","2,517","2,717","2,440","2,438","2,454","2,486","2,507","2,722",:,:,:,:,:,:,:
Spain,"8,710","9,398","9,917","9,954","9,974","9,192","8,839","8,413","8,379","8,465","9,481","12,843","19,828","20,967","17,325","13,244","10,452","9,008","8,458","7,536","7,643","7,620","7,144","6,849","7,032","7,512","7,635","7,732","7,562","7,827","8,589","8,394","8,170","7,886","7,954","7,777","7,998","8,168","8,064","8,188","8,593","8,594","9,470","9,596","10,316","10,030","9,695","9,534","9,541","9,534","9,287","9,015","9,339","10,664","12,123","13,255","12,951","11,842","10,609","9,724","9,232","8,694","8,489","8,285","8,408","8,389","8,309","8,153","8,262","8,051","8,281","7,896","7,718","7,552","7,557","7,864","7,977","7,453","7,695","7,710","7,726","8,611","8,572","8,869","9,013","8,955","8,395","8,074","8,093","7,692","7,657","7,705","7,687","7,750","7,871","7,520","7,937","8,663","8,046",:,:,:,:
France,"12,979","13,435","12,834","12,585","12,786","12,659","12,509","12,103","12,280","12,409","12,809","14,204","16,436","19,052","17,784","15,657","13,045","11,532","11,307","11,008","11,373","10,695","10,640","10,653","10,709","11,381","10,285","10,588","10,393","10,822","11,151","11,010","12,084","10,773","10,807","10,909","11,491","12,126","11,163","12,163","12,130","12,453","13,961","14,882","15,883","15,739","15,269","14,974","14,816","14,787","14,366","14,122","14,675","14,972","14,934","15,430","15,029","14,712","14,440","14,417","13,633","13,241","13,107","13,266","13,090","13,514","13,284","13,356","13,511","13,020","12,773","11,788","11,511","11,363","11,132","10,993","11,147","10,147","10,436","10,815","10,616","11,815","11,009","11,035","12,129","11,916","11,568","11,984","12,215","11,307","11,250","11,622","11,684","12,318","12,199","12,434","11,846","12,218","12,300","12,766","12,791",:,:
Croatia,"1,012","1,057","1,015","1,133","1,094","1,060","1,090","1,046","1,023","1,057","1,083","1,096","1,121","1,012",999,976,867,909,877,909,903,848,974,979,889,927,969,919,887,974,"1,061",954,924,920,971,930,"1,000",974,961,"1,064",970,"1,099","1,136","1,158","1,287","1,361","1,486","1,485","1,713","1,758","1,788","1,682","1,517","1,338","1,357","1,306","1,244","1,204","1,161","1,121","1,096","1,034","1,080","1,021","1,142","1,231","1,282","1,288","1,317","1,340","1,252","1,254","1,106","1,047","1,143","1,061","1,028","1,116",982,"1,002",990,906,"1,068",954,"1,060",992,959,"1,041","1,090","1,099","1,075","1,098","1,077","1,093","1,143","1,194",:,:,:,:,:,:,:
