GEOLABEL,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
European Union,1.8,1.8,1.9,1.9,2.1,2.1,2.1,2.2,2.3,2.2,2.1,2.1,1.9,1.6,1.7,1.8,2.0,2.2,2.4
Euro area,1.9,1.9,1.9,1.9,2.1,2.1,2.1,2.2,2.3,2.3,2.2,2.2,2.0,1.6,1.7,1.9,2.1,2.3,2.6
Belgium,3.2,3.3,3.6,3.4,3.5,3.5,3.6,3.4,3.6,3.4,3.4,3.4,3.2,3.0,3.3,2.9,3.5,4.2,4.7
Bulgaria,0.9,0.8,0.8,0.8,1.0,0.9,0.9,0.9,1.0,0.9,0.8,0.8,0.7,0.9,0.9,0.7,0.8,0.8,0.8
Czechia,3.1,3.6,4.1,4.4,4.8,5.4,5.9,6.0,6.4,6.2,6.2,5.9,5.7,5.4,5.3,5.0,5.0,4.9,5.1
Germany,2.6,2.7,2.7,2.9,2.9,2.9,3.0,3.4,3.3,3.3,3.2,3.3,2.9,2.0,2.4,3.0,2.9,2.9,3.3
Estonia,2.0,2.2,2.3,1.9,1.8,1.9,1.9,1.8,1.9,1.9,2.0,1.8,1.4,1.3,1.5,1.5,1.5,1.7,1.9
Ireland,1.0,1.1,1.1,1.0,1.0,1.2,1.0,0.9,1.0,1.1,0.9,0.9,0.8,0.8,0.8,0.9,1.0,1.2,1.5
Greece,1.0,0.7,0.5,0.1,0.7,0.7,0.6,0.4,0.6,0.7,0.6,0.5,0.4,0.3,0.5,0.3,0.3,0.6,0.7
Spain,0.6,0.6,0.6,0.5,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.5,0.6,0.5,0.7,0.8,0.8
Cyprus,1.1,0.8,1.4,1.0,1.2,1.4,2.1,1.0,2.0,1.7,2.0,1.3,2.0,1.2,1.7,1.3,2.0,2.6,2.4
Latvia,1.8,1.8,1.9,1.9,2.4,2.7,2.5,2.3,3.1,3.2,3.1,3.0,2.1,2.4,2.3,1.9,2.3,2.7,2.6
Lithuania,1.6,1.5,1.6,1.5,1.6,1.5,1.5,1.3,1.5,1.4,1.4,1.3,1.1,1.3,1.4,1.2,1.6,1.9,2.0
Luxembourg,1.5,1.5,1.6,1.4,1.5,1.7,1.8,1.7,1.7,1.7,1.7,1.5,1.7,1.4,1.5,1.5,1.6,1.9,2.1
Hungary,2.0,2.2,2.4,2.4,2.5,2.7,2.8,2.7,2.5,2.6,2.5,2.4,1.9,2.0,2.1,2.0,2.0,2.3,2.5
Malta,2.3,2.3,2.0,1.6,2.6,2.6,2.7,2.8,2.5,2.8,2.4,2.2,1.4,1.5,1.9,1.7,1.4,2.4,2.4
Netherlands,2.3,2.6,2.5,2.6,2.8,3.1,3.0,2.9,3.2,3.4,3.2,3.2,2.6,2.4,2.5,2.5,3.0,3.8,4.2
Austria,2.2,2.6,2.6,2.3,2.8,2.7,3.0,3.1,3.1,3.0,3.0,3.0,2.9,2.2,2.5,2.6,2.8,3.4,3.8
Poland,1.0,1.0,1.1,1.0,1.2,1.3,1.2,1.1,1.1,1.1,1.1,1.0,0.6,0.7,0.7,0.7,0.9,1.2,1.2
Portugal,0.9,0.9,0.9,0.8,0.9,0.9,1.0,0.9,1.0,1.0,1.0,0.9,0.6,0.7,0.7,0.7,0.8,1.0,1.2
Romania,1.3,1.3,1.2,1.1,1.2,1.3,1.3,1.2,1.2,1.1,1.1,1.0,0.9,0.7,0.8,0.7,0.8,0.8,1.0
Slovenia,2.1,2.3,2.3,2.0,2.6,2.6,2.6,2.2,2.7,2.3,2.2,2.0,2.2,1.4,1.8,1.5,2.2,2.7,2.8
Slovakia,1.0,1.0,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.1,1.0,1.0,0.9,0.8,0.8,0.7,0.8,0.9,0.9
Finland,2.7,1.6,1.5,1.8,2.7,2.1,2.1,1.8,2.8,2.1,2.2,1.6,2.8,1.5,2.0,1.5,2.7,2.2,2.8
Sweden,2.7,2.5,2.0,2.1,2.9,2.7,2.1,2.1,2.9,2.7,2.0,1.9,2.7,1.8,1.4,1.6,2.3,2.6,2.2
Norway,2.1,2.3,2.0,2.0,2.4,2.6,2.3,2.1,2.6,2.9,2.2,2.2,2.5,2.2,2.1,2.1,2.6,3.5,3.0
Switzerland,1.2,1.2,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.7,1.6,1.6,1.3,1.2,1.3,1.3,1.4,1.6,1.8
United Kingdom,2.4,2.6,2.7,2.7,2.6,2.7,2.8,2.7,2.6,2.7,2.7,2.5,2.4,1.1,1.6,:,:,:,:
North Macedonia,1.6,1.5,1.5,1.3,1.7,1.4,1.7,1.6,1.8,1.4,1.5,1.8,1.8,1.4,1.7,1.6,1.6,1.8,1.7
