GEOLABEL,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3
European Union,2,2.5,2.2,2.1,2.8,2.9,3.1,2.8,2.7,3.2,2.7,2.7,3.8,4.2,1.8,3.2,1.7,0.5,2.9
Euro area,1.6,2.1,1.7,1.7,2.4,2.5,2.8,2.5,2.3,2.8,2.3,2.4,3.6,4.4,1.6,2.9,1.5,-0.1,2.5
Belgium,0.7,1.1,1.3,1.3,1.8,1.7,1.2,1.8,2.1,2,2.6,1.6,1.6,2,1.4,1.1,0.9,0.7,0.7
Bulgaria,12.4,10.7,11.6,13.3,7.3,9.1,9.5,5.6,13.4,11.1,9.6,11.9,9.5,9.5,3.4,9.7,4.9,6.7,13.8
Czechia,6,9.6,8.2,7.4,9.8,8.8,8.5,7,8.8,9,6.7,9.4,5.1,5.7,4.7,8.4,3,3.4,8
Denmark,2.1,1.9,2.1,1.9,1.7,1.8,2.1,2.5,2,2.4,2.3,1.9,2.3,2.1,1.7,1.8,1.5,3.3,4.2
Germany,2.7,3.1,2.7,1.9,3.2,2.6,3.4,2.5,2,3.7,2.8,3,4.5,4.2,1.5,3.1,1.5,0.2,2.6
Estonia,5.4,8.1,8.7,8.1,7.2,4.3,8.1,8.5,7.5,8.4,7.7,6.7,4.2,1.9,1.3,1.2,5,5.1,8
Ireland,1.2,1.8,2.5,2.6,3.3,3,2.3,2.6,2.4,3.1,3.8,3.9,3.1,-4.6,-2.8,-4.3,-1.1,5.2,3.9
Greece,6.7,-0.7,-2.8,3.9,4.4,5.1,2,2.5,-0.2,2.1,4.1,4.1,1.6,3.3,1.4,3.4,5.8,1.7,-4.6
Spain,0,0.3,0.1,1.1,1.6,0.6,2.8,1.2,2.4,3.7,2.4,2.8,3.9,8.5,2.6,3.5,1.7,-3.7,1.1
France,1,1.7,1.6,1.4,1.7,2.3,2,2.4,2.2,1.6,1.8,1.1,1.1,3.2,1.9,2.3,2.3,0,1.7
Croatia,3.9,5.2,4.5,5.7,5.2,7.9,3.4,5.4,4.2,2.4,4.8,3,0.1,0.6,-0.6,-1.1,2.3,1.3,4.3
Italy,1.4,0.3,1.2,0,0.8,3.5,2.2,2.5,2.6,1.3,0.8,1.5,3.7,7.6,1.4,1.6,0.3,-3.9,2.4
Cyprus,1,2.7,2.5,3.7,3.3,2.9,3.5,3.2,4.4,5.9,5.2,5.1,2.8,-7.5,-2,3.7,-1.2,17.1,7.2
Latvia,8.6,7.7,5.5,6.1,12.1,11.7,11.3,11.7,8.2,7.5,7.7,7.7,6.2,4.5,4.6,7.1,4,5,4.6
Lithuania,7.2,10,9.3,8.8,10.2,9.8,10.7,10.2,7.4,5.8,2.6,4.8,9.1,12.4,4.9,4.6,12,6.3,15.2
Luxembourg,0.3,4.1,3.1,4.1,2.2,1.5,3.2,3.1,5.1,4,0.9,1,1,-0.2,2.3,0.8,2.1,-0.7,2.1
Hungary,9,9,9,8.7,10.2,10.3,8.9,8.2,10.5,10.1,8.9,9.9,8.4,12.2,5.5,8.3,5.5,2.2,10
Malta,4.2,8.7,4.5,4.8,5.8,1.1,0.3,2.3,0,1.7,2,1,1.2,-3.8,0.4,-3.7,-0.8,4.4,6.1
Netherlands,0.3,1.6,0.5,3,2.9,1.9,2.7,1.4,2.7,2.6,1.5,3.8,4.2,0.6,0.7,2.8,-0.4,4.5,4.2
Austria,1.3,5.2,3.5,2.2,5,3.1,3.1,3.7,0.8,3.7,1.7,2,8.6,6.5,0.7,10.2,-2.9,-1.7,5.3
Poland,3.1,7.9,4.8,8.2,7.9,6.3,6.7,6.7,5.6,7.2,6.8,5.8,8.9,5.6,4.8,7.5,5.8,7.9,9.3
Portugal,3,2.7,-1,3.7,-1.3,1.1,1.3,10.6,1.7,-0.1,4.3,0.7,7.6,14.2,5.8,6.8,7.1,-3.6,3.9
Romania,17.5,18.1,16.5,14.3,14.3,17.4,15.8,15.3,16.2,14,13.4,12.3,8.5,8.7,6.4,8.8,5.7,4,6.4
Slovenia,3.5,4.4,6.2,4.8,4.5,2.7,1.9,1.8,7.2,5,3.4,6.8,5.8,8.8,1.8,3.7,11.1,3.6,6
Slovakia,4.7,6.6,7.1,5.6,8.2,8.1,7.1,7.1,8.4,10.4,7.9,7.7,9.2,7.1,6.1,8.5,3.2,1,6.7
Finland,-2.5,0.2,-3.1,-0.8,1.2,1.2,1.1,1.4,2.3,1.6,0.5,1.7,0.4,1.5,1.2,-0.5,3,3,3.8
Sweden,2.7,3.3,2.6,2.7,2.4,3.1,2.3,2.5,2.7,2.8,2.9,2.8,3,-2.7,1.7,3.2,1.8,6.6,1.7
Iceland,2.7,11.7,7.8,7.1,8.1,3.3,6.5,6.5,3.2,8.6,5.3,4.1,3.9,5.6,4.9,5.7,9.7,7.6,6.3
Norway,2.2,2.1,2.1,2.5,2.7,2.5,2.7,2.7,2.8,3.2,3.3,3.1,3,2.7,2.3,1.9,2.5,2.9,2.9
United Kingdom,1.5,2,3.4,4.1,4.5,2.7,1.9,3.5,2,3.7,3.8,2.7,5.6,22,13.6,0,0,0,0
Serbia,8.8,5.3,4.6,0.9,3.7,5.1,4.2,11.9,4.6,-0.7,-9.7,4.7,11.4,1.7,11.9,10.7,7.9,11.1,11.8
